"START_DATE","END_DATE","JURISDICTION","Sum(FINES)","Year"
"2023-01-01","2023-01-31","ACT",2,"2023"
"2023-01-01","2023-01-31","NSW",1092,"2023"
"2023-01-01","2023-01-31","NT",81,"2023"
"2023-01-01","2023-01-31","SA",260,"2023"
"2023-01-01","2023-01-31","TAS",70,"2023"
"2023-01-01","2023-01-31","VIC",663,"2023"
"2023-01-01","2023-01-31","WA",226,"2023"
"2023-01-01","2023-12-31","QLD",37530,"2023"
"2023-02-01","2023-02-28","ACT",8,"2023"
"2023-02-01","2023-02-28","NSW",839,"2023"
"2023-02-01","2023-02-28","NT",42,"2023"
"2023-02-01","2023-02-28","SA",269,"2023"
"2023-02-01","2023-02-28","TAS",68,"2023"
"2023-02-01","2023-02-28","VIC",613,"2023"
"2023-02-01","2023-02-28","WA",161,"2023"
"2023-03-01","2023-03-31","ACT",4,"2023"
"2023-03-01","2023-03-31","NSW",866,"2023"
"2023-03-01","2023-03-31","NT",91,"2023"
"2023-03-01","2023-03-31","SA",296,"2023"
"2023-03-01","2023-03-31","TAS",92,"2023"
"2023-03-01","2023-03-31","VIC",673,"2023"
"2023-03-01","2023-03-31","WA",185,"2023"
"2023-04-01","2023-04-30","ACT",5,"2023"
"2023-04-01","2023-04-30","NSW",1050,"2023"
"2023-04-01","2023-04-30","NT",53,"2023"
"2023-04-01","2023-04-30","SA",281,"2023"
"2023-04-01","2023-04-30","TAS",48,"2023"
"2023-04-01","2023-04-30","VIC",592,"2023"
"2023-04-01","2023-04-30","WA",149,"2023"
"2023-05-01","2023-05-31","ACT",9,"2023"
"2023-05-01","2023-05-31","NSW",757,"2023"
"2023-05-01","2023-05-31","NT",50,"2023"
"2023-05-01","2023-05-31","SA",162,"2023"
"2023-05-01","2023-05-31","TAS",44,"2023"
"2023-05-01","2023-05-31","VIC",502,"2023"
"2023-05-01","2023-05-31","WA",113,"2023"
"2023-06-01","2023-06-30","ACT",4,"2023"
"2023-06-01","2023-06-30","NSW",1048,"2023"
"2023-06-01","2023-06-30","NT",60,"2023"
"2023-06-01","2023-06-30","SA",176,"2023"
"2023-06-01","2023-06-30","TAS",57,"2023"
"2023-06-01","2023-06-30","VIC",538,"2023"
"2023-06-01","2023-06-30","WA",149,"2023"
"2023-07-01","2023-07-31","ACT",10,"2023"
"2023-07-01","2023-07-31","NSW",639,"2023"
"2023-07-01","2023-07-31","NT",80,"2023"
"2023-07-01","2023-07-31","SA",217,"2023"
"2023-07-01","2023-07-31","TAS",49,"2023"
"2023-07-01","2023-07-31","VIC",3413,"2023"
"2023-07-01","2023-07-31","WA",128,"2023"
"2023-08-01","2023-08-31","ACT",7,"2023"
"2023-08-01","2023-08-31","NSW",686,"2023"
"2023-08-01","2023-08-31","NT",89,"2023"
"2023-08-01","2023-08-31","SA",239,"2023"
"2023-08-01","2023-08-31","TAS",80,"2023"
"2023-08-01","2023-08-31","VIC",4962,"2023"
"2023-08-01","2023-08-31","WA",150,"2023"
"2023-09-01","2023-09-30","ACT",7,"2023"
"2023-09-01","2023-09-30","NSW",732,"2023"
"2023-09-01","2023-09-30","NT",67,"2023"
"2023-09-01","2023-09-30","SA",257,"2023"
"2023-09-01","2023-09-30","TAS",241,"2023"
"2023-09-01","2023-09-30","VIC",4646,"2023"
"2023-09-01","2023-09-30","WA",130,"2023"
"2023-10-01","2023-10-31","ACT",6,"2023"
"2023-10-01","2023-10-31","NSW",771,"2023"
"2023-10-01","2023-10-31","NT",62,"2023"
"2023-10-01","2023-10-31","SA",246,"2023"
"2023-10-01","2023-10-31","TAS",491,"2023"
"2023-10-01","2023-10-31","VIC",5226,"2023"
"2023-10-01","2023-10-31","WA",131,"2023"
"2023-11-01","2023-11-30","ACT",8,"2023"
"2023-11-01","2023-11-30","NSW",706,"2023"
"2023-11-01","2023-11-30","NT",56,"2023"
"2023-11-01","2023-11-30","SA",195,"2023"
"2023-11-01","2023-11-30","TAS",489,"2023"
"2023-11-01","2023-11-30","VIC",3641,"2023"
"2023-11-01","2023-11-30","WA",156,"2023"
"2023-12-01","2023-12-31","ACT",5,"2023"
"2023-12-01","2023-12-31","NSW",1060,"2023"
"2023-12-01","2023-12-31","NT",58,"2023"
"2023-12-01","2023-12-31","SA",286,"2023"
"2023-12-01","2023-12-31","TAS",341,"2023"
"2023-12-01","2023-12-31","VIC",4931,"2023"
"2023-12-01","2023-12-31","WA",96,"2023"
